School Information,"Includes School Name, School Type, Community Area, Network, and Opportunity Index score (where applicable).",Year,Source_File,Source_Sheet,School Name,School Type,Network,Community Area,Opportunity Index,Fall 2024 Total Enrollment,Fall 2024 K-12 Non-Cluster Enrollment,Fall 2023 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2023 to Fall 2024,Student : Teacher Ratio for Core Classroom Teachers (Unadjusted for Floor),Per-Pupil Total For Need-Based Flexible Funding (Unadjusted for Floor),Per-Pupil Total For Title I Funding,Core Classroom,Holistic (ES Only),Title I Interventionists,Supplemental Programmatic Teachers,Critical Language Teachers,Other (Misc Grant-Funded),Teachers Received on Appeal,Teacher Positions Liquidated for Discretionary Dollars (Reference Only),Principal,Asst. Principal,Clerk,Counselor,Restorative Justice Coord.,Athletic Director,Athletic Stipends,School Assistant,Part-Time Operational Position,Other Central FTEs (incl. Awarded on Appeal),Liquidated AP,Liquidated RJC,Liquidated School Assistant,Liquidated Part-Time Operations Bucket,Teachers,Asst. Principal.1,Clerk.1,Counselor.1,Restorative Justice Coord..1,Tech Coord.,Teacher/ Classroom Assistants,Other Non-Teacher Discretionary Staff,Discretionary Non-FTE Funding,Special Ed Teachers,Special Ed Paraprofessionals,Case Managers,Other Special Ed FTEs,Early Childhood Teachers,Early Childhood Paraprofessionals,Other Early Chlidhood FTEs,Early College (ECCE) Positions,College & Career Coaches,STEM Coords & Teachers,IB Coord.,RGC & RGC-EL Coord.,Personalized Learning Coord.,Montessori Program Coord.,Montessori Positions,JROTC Positions,Bilingual & Dual Language Coordinators,STLS Advocates,Instructional Support Buckets,Lead Coaches,Lunchroom,Security,Whole School Safety Funding,School and District Improvement Grant (SDI) Allocation,School Internal Account Funded Teacher Positions,School Internal Account Funded Non-Teacher Positions,Fall 2024 PE/PK Enrollment,Fall 2024 K-12 Enrollment,Fall 2023 Total Enrollment,Change in Total Enrollment from Fall 2023 to Fall 2024,Centrally Allocated General Education Teachers,Fall 2025 Total Enrollment,Fall 2025 K-12 Non-Cluster Enrollment,Change in K-12 Non-Cluster Enrollment from Fall 2024 to Fall 2025,Loss Cap Teachers,Critical/World Language Teachers,School Operations Support - Add'l Flexible Funding,Other Central FTEs (incl. Class Size TA's),School Internal Account Funded AP Positions,Fall 2025 PE/PK Enrollment,Fall 2025 K-12 Enrollment,Change in Total Enrollment from Fall 2024 to Fall 2025,Centrally Allocated Teachers,Other Centrally-Allocated Positions
Enrollment,"Includes Fall 2024 Enrollment, Fall 2024 Non-Cluster K-12 Enrollment, Fall 2023 Non-Cluster K-12 Enrollment, and Change in Non-Cluster K-12 Enrollment from Fall 2023 to Fall 2024. Cluster students are not counted in the core teacher allocation as schools receive cluster teachers through their Special Education allocations. While Non-Cluster K-12 Enrollment is used for core/holistic teacher allocations, K-12 Enrollment is used for centrally-provided administrative positions and discretionary funding allocations. Note that there is no adjustment made in FY2026 enrollment calculations for newcomer students, as was done in FY2025. Alt-Spec have unique enrollment patterns denoted specifically in that tab. ",2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrally Allocated Teachers,"Includes all centrally-allocated teacher positions based on formulas, additional program needs, appeals, and liquidations.",2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrally Allocated Non-Teacher Positions,Includes all non-teaching centrally-allocated foundation positions and liquidations when available. ,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discretionary-Purchased Resources,Includes all positions purchased with discretionary funds plus funds allocated toward non-FTE costs.,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Education,Includes centrally-allocated positions to support Special Education needs.,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Childhood,Includes centrally-allocated resources to support Early Childhood programming.,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programmatic Resources,Includes centrally-allocated program-specific allocations.,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Development,Includes centrally-allocated resourcing for teacher professional development.,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operations,Includes centrally-allocated Security and Lunchroom positions and Whole School Safety funding.,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDI,Includes anticipated ISBE School and District Improvement grant allocations. ,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal Accounts,Includes teachers and non-teacher positions purchased through school internal account funding.,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projected Additional Resources Budgeted Citywide,Includes positions and dollars projected for school-based assignment during the beginning of SY2026. Included in the citywide count since exact school placements will be determined later in the Fiscal Year based on evolving school needs.,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: The ""Alt-Spec"" tab contains the relevant resourcing information for our alternative and specialty schools, who are provided resources specific to the type of program they are running.",,2026,DISTRICT_MANAGED_2026.xlsx,Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,ADDAMS,Elementary,Network 13,EAST SIDE,31.0,541.0,475.0,459.0,16.0,24:1,593.0,364.25,20.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198734.1,6.0,12.0,1.0,0.0,5.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18640.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
,,2026,DISTRICT_MANAGED_2026.xlsx,Traditional,AIR FORCE HS,High,Network 16,ARMOUR SQUARE,34.0,130.0,130.0,118.0,12.0,19:1,1491.0,377.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,60000.00000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3199999999999999,138178.75,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,0.0,18640.0,0.0,2.0,2.0,160000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
