school_year,network,metric,pct,n
2025-2026,Network 1,English Learners,0.3385,7898
2025-2026,Network 2,English Learners,0.3379,4840
2025-2026,Network 3,English Learners,0.4193,5277
2025-2026,Network 4,English Learners,0.2266,4165
2025-2026,Network 5,English Learners,0.2815,2360
2025-2026,Network 6,English Learners,0.1909,2265
2025-2026,Network 7,English Learners,0.49,4192
2025-2026,Network 8,English Learners,0.518,7112
2025-2026,Network 9,English Learners,0.0536,527
2025-2026,Network 10,English Learners,0.3134,5715
2025-2026,Network 11,English Learners,0.112,1010
2025-2026,Network 12,English Learners,0.1107,1153
2025-2026,Network 13,English Learners,0.1719,2011
2025-2026,Network 14,English Learners,0.2748,7519
2025-2026,Network 15,English Learners,0.2385,4885
2025-2026,Network 16,English Learners,0.3283,4092
2025-2026,Network 17,English Learners,0.1058,1097
2025-2026,ISP,English Learners,0.358,7846
2025-2026,Charter,English Learners,0.2333,10778
2025-2026,Contract,English Learners,0.0824,70
2025-2026,Options,English Learners,0.218,1360
2024-2025,Network 1,English Learners,0.3476,8279
2024-2025,Network 2,English Learners,0.3612,4781
2024-2025,Network 3,English Learners,0.4234,5432
2024-2025,Network 4,English Learners,0.24,4476
2024-2025,Network 5,English Learners,0.2801,2452
2024-2025,Network 6,English Learners,0.2106,2495
2024-2025,Network 7,English Learners,0.4982,4589
2024-2025,Network 8,English Learners,0.5312,7013
2024-2025,Network 9,English Learners,0.0539,550
2024-2025,Network 10,English Learners,0.3293,5970
2024-2025,Network 11,English Learners,0.0932,838
2024-2025,Network 12,English Learners,0.0962,1024
2024-2025,Network 13,English Learners,0.1691,2022
2024-2025,Network 14,English Learners,0.2677,7560
2024-2025,Network 15,English Learners,0.2354,4929
2024-2025,Network 16,English Learners,0.2916,3521
2024-2025,Network 17,English Learners,0.0896,948
2024-2025,ISP,English Learners,0.3537,9560
2024-2025,Charter,English Learners,0.2357,11246
2024-2025,Contract,English Learners,0.0641,69
2024-2025,Options,English Learners,0.1703,1053
2023-2024,Network 1,English Learners,0.3437,8076
2023-2024,Network 2,English Learners,0.3563,4447
2023-2024,Network 3,English Learners,0.3893,4988
2023-2024,Network 4,English Learners,0.2339,4332
2023-2024,Network 5,English Learners,0.2238,1911
2023-2024,Network 6,English Learners,0.1994,2203
2023-2024,Network 7,English Learners,0.4482,3941
2023-2024,Network 8,English Learners,0.4967,5688
2023-2024,Network 9,English Learners,0.0264,258
2023-2024,Network 10,English Learners,0.306,5279
2023-2024,Network 11,English Learners,0.0386,316
2023-2024,Network 12,English Learners,0.0391,399
2023-2024,Network 13,English Learners,0.1447,1698
2023-2024,Network 14,English Learners,0.2332,6592
2023-2024,Network 15,English Learners,0.1998,4220
2023-2024,Network 16,English Learners,0.2388,2776
2023-2024,Network 17,English Learners,0.0647,682
2023-2024,ISP,English Learners,0.3408,10810
2023-2024,Charter,English Learners,0.2158,10444
2023-2024,Contract,English Learners,0.0569,67
2023-2024,Options,English Learners,0.1158,706
2022-2023,Network 1,English Learners,0.319,7017
2022-2023,Network 2,English Learners,0.3197,3848
2022-2023,Network 3,English Learners,0.3594,4621
2022-2023,Network 4,English Learners,0.2269,3981
2022-2023,Network 5,English Learners,0.1875,1581
2022-2023,Network 6,English Learners,0.1762,1676
2022-2023,Network 7,English Learners,0.4315,3792
2022-2023,Network 8,English Learners,0.4789,5394
2022-2023,Network 9,English Learners,0.0182,174
2022-2023,Network 10,English Learners,0.2835,4653
2022-2023,Network 11,English Learners,0.0254,213
2022-2023,Network 12,English Learners,0.0313,322
2022-2023,Network 13,English Learners,0.1089,1158
2022-2023,Network 14,English Learners,0.1913,5002
2022-2023,Network 15,English Learners,0.1637,2789
2022-2023,Network 16,English Learners,0.1992,2440
2022-2023,Network 17,English Learners,0.0528,567
2022-2023,AUSL,English Learners,0.2426,1016
