school_year,network,race,count,pct
2025-2026,Charter,Asian,468,0.0101311858682945
2025-2026,Charter,Black/African American,25251,0.5466294323938173
2025-2026,Charter,Hawaiian/Pacific Islander,26,0.0005628436593496
2025-2026,Charter,Hispanic/Latino,19430,0.4206173961986405
2025-2026,Charter,Black/African American,9,0.0001948304974672
2025-2026,Charter,Multiracial,221,0.0047841711044724
2025-2026,Charter,Native American/Alaskan,101,0.002186431138243
2025-2026,Charter,Not Available,124,0.002684331298437
2025-2026,Charter,White,564,0.012209377841278
2025-2026,Contract,Asian,5,0.005889281507656
2025-2026,Contract,Black/African American,450,0.5300353356890459
2025-2026,Contract,Hawaiian/Pacific Islander,1,0.0011778563015312
2025-2026,Contract,Hispanic/Latino,288,0.3392226148409894
2025-2026,Contract,Black/African American,0,0.0
2025-2026,Contract,Multiracial,15,0.0176678445229682
2025-2026,Contract,Native American/Alaskan,3,0.0035335689045936
2025-2026,Contract,Not Available,3,0.0035335689045936
2025-2026,Contract,White,84,0.0989399293286219
2025-2026,ISP,Asian,1913,0.0872918092630618
2025-2026,ISP,Black/African American,4332,0.1976728268309377
2025-2026,ISP,Hawaiian/Pacific Islander,13,0.0005932010038786
2025-2026,ISP,Hispanic/Latino,11208,0.5114305270362766
2025-2026,ISP,Black/African American,6,0.0002737850787132
2025-2026,ISP,Multiracial,475,0.0216746520647958
2025-2026,ISP,Native American/Alaskan,144,0.006570841889117
2025-2026,ISP,Not Available,9,0.0004106776180698
2025-2026,ISP,White,3815,0.1740816792151494
2025-2026,Network 1,Asian,2096,0.0898298547122101
2025-2026,Network 1,Black/African American,772,0.0330861869455277
2025-2026,Network 1,Hawaiian/Pacific Islander,29,0.0012428748982128
2025-2026,Network 1,Hispanic/Latino,11161,0.478335404791497
2025-2026,Network 1,Black/African American,16,0.0006857240817725
2025-2026,Network 1,Multiracial,809,0.0346719238846269
2025-2026,Network 1,Native American/Alaskan,109,0.0046714953070758
2025-2026,Network 1,Not Available,74,0.0031714738781982
2025-2026,Network 1,White,8267,0.3543050615008786
2025-2026,Network 10,Asian,137,0.0075134364374245
2025-2026,Network 10,Black/African American,4258,0.2335197981792256
2025-2026,Network 10,Hawaiian/Pacific Islander,10,0.0005484260173302
2025-2026,Network 10,Hispanic/Latino,12224,0.6703959635845125
2025-2026,Network 10,Black/African American,6,0.0003290556103981
2025-2026,Network 10,Multiracial,162,0.0088845014807502
2025-2026,Network 10,Native American/Alaskan,53,0.0029066578918503
2025-2026,Network 10,Not Available,4,0.0002193704069321
2025-2026,Network 10,White,1380,0.0756827903915761
2025-2026,Network 11,Asian,27,0.002994344016857
2025-2026,Network 11,Black/African American,7451,0.8263280470222912
2025-2026,Network 11,Hawaiian/Pacific Islander,4,0.0004436065210158
2025-2026,Network 11,Hispanic/Latino,1343,0.1489408894310746
2025-2026,Network 11,Black/African American,0,0.0
2025-2026,Network 11,Multiracial,40,0.0044360652101585
2025-2026,Network 11,Native American/Alaskan,12,0.0013308195630475
2025-2026,Network 11,Not Available,13,0.0014417211933015
2025-2026,Network 11,White,127,0.0140845070422535
2025-2026,Network 12,Asian,3,0.0002879631407179
2025-2026,Network 12,Black/African American,8838,0.848339412555193
2025-2026,Network 12,Hawaiian/Pacific Islander,7,0.0006719139950086
2025-2026,Network 12,Hispanic/Latino,1361,0.1306392781723939
2025-2026,Network 12,Black/African American,2,0.0001919754271453
2025-2026,Network 12,Multiracial,71,0.006815127663659
2025-2026,Network 12,Native American/Alaskan,31,0.0029756191207525
2025-2026,Network 12,Not Available,34,0.0032635822614705
2025-2026,Network 12,White,71,0.006815127663659
2025-2026,Network 13,Asian,15,0.0012818321654418
2025-2026,Network 13,Black/African American,7161,0.6119466757819176
2025-2026,Network 13,Hawaiian/Pacific Islander,3,0.0002563664330883
2025-2026,Network 13,Hispanic/Latino,4159,0.3554093317381644
2025-2026,Network 13,Black/African American,0,0.0
2025-2026,Network 13,Multiracial,88,0.0075200820372585
2025-2026,Network 13,Native American/Alaskan,34,0.002905486241668
2025-2026,Network 13,Not Available,7,0.0005981883438728
2025-2026,Network 13,White,235,0.0200820372585882
2025-2026,Network 14,Asian,2595,0.0948568922030924
2025-2026,Network 14,Black/African American,3146,0.1149979895456373
2025-2026,Network 14,Hawaiian/Pacific Islander,89,0.0032532806959827
2025-2026,Network 14,Hispanic/Latino,13589,0.4967284424461746
2025-2026,Network 14,Black/African American,28,0.0010235040391855
2025-2026,Network 14,Multiracial,762,0.0278539313521219
2025-2026,Network 14,Native American/Alaskan,107,0.0039112475783163
2025-2026,Network 14,Not Available,202,0.0073838505684102
2025-2026,Network 14,White,6839,0.2499908615710787
2025-2026,Network 15,Asian,1620,0.0790861159929701
2025-2026,Network 15,Black/African American,4164,0.2032806092560047
2025-2026,Network 15,Hawaiian/Pacific Islander,28,0.0013669205233352
2025-2026,Network 15,Hispanic/Latino,12259,0.5984670962702597
2025-2026,Network 15,Black/African American,6,0.0002929115407147
2025-2026,Network 15,Multiracial,386,0.0188439757859793
2025-2026,Network 15,Native American/Alaskan,64,0.0031243897676235
2025-2026,Network 15,Not Available,9,0.000439367311072
2025-2026,Network 15,White,1948,0.0950986135520406
2025-2026,Network 16,Asian,197,0.0158055198973042
2025-2026,Network 16,Black/African American,4040,0.3241335044929396
