school_year,race,count
2016-2017,Asian,14540
2016-2017,Black,152413
2016-2017,Hawaiian/Pacific Islander,630
2016-2017,Hispanic,180206
2016-2017,Multiracial,4192
2016-2017,NativeAmerican,937
2016-2017,Not Available,1605
2016-2017,White,37748
2017-2018,Asian,14935
2017-2018,Black,143849
2017-2018,Hawaiian/Pacific Islander,644
2017-2018,Hispanic,177492
2017-2018,Multiracial,4163
2017-2018,NativeAmerican,786
2017-2018,Not Available,1775
2017-2018,White,37691
2018-2019,Asian,15113
2018-2019,Black,137495
2018-2019,Hawaiian/Pacific Islander,627
2018-2019,Hispanic,173790
2018-2019,Multiracial,4185
2018-2019,NativeAmerican,1144
2018-2019,Not Available,1082
2018-2019,White,37933
2019-2020,Asian,14933
2019-2020,Black,132194
2019-2020,Hawaiian/Pacific Islander,616
2019-2020,Hispanic,168888
2019-2020,Multiracial,4333
2019-2020,NativeAmerican,1061
2019-2020,Not Available,1253
2019-2020,White,38016
2020-2021,Asian,14961
2020-2021,Black,127601
2020-2021,Hawaiian/Pacific Islander,599
2020-2021,Hispanic,165578
2020-2021,Multiracial,4461
2020-2021,NativeAmerican,1054
2020-2021,Not Available,2408
2020-2021,White,38480
2021-2022,Asian,14810
2021-2022,Black,122116
2021-2022,Hawaiian/Pacific Islander,537
2021-2022,Hispanic,159163
2021-2022,Multiracial,4488
2021-2022,NativeAmerican,996
2021-2022,Not Available,1342
2021-2022,White,37198
2022-2023,Asian,14383
2022-2023,Black,119025
2022-2023,Hawaiian/Pacific Islander,479
2022-2023,Hispanic,153931
2022-2023,Multiracial,4592
2022-2023,NativeAmerican,859
2022-2023,Not Available,1483
2022-2023,White,35649
2023-2024,Asian,14291
2023-2024,Black,115332
2023-2024,Hawaiian/Pacific Islander,449
2023-2024,Hispanic,149647
2023-2024,Multiracial,4841
2023-2024,NativeAmerican,806
2023-2024,Not Available,1359
2023-2024,White,35380
2024-2025,Asian,14703
2024-2025,Black,113197
2024-2025,Hawaiian/Pacific Islander,407
2024-2025,Hispanic,151604
2024-2025,Multiracial,5241
2024-2025,NativeAmerican,827
2024-2025,Not Available,1421
2024-2025,White,35853
2025-2026,Asian,15145
2025-2026,Black,111252
2025-2026,Hawaiian/Pacific Islander,359
2025-2026,Hispanic,153820
2025-2026,Middle Eastern/Northern African,58
2025-2026,Multiracial,5713
2025-2026,NativeAmerican,1029
2025-2026,Not Available,1235
2025-2026,White,36693
