Year,School ID,School Name,Network,Governance,School Type,Community Area,Unit,School,Total,PE,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2005-2006,610212.0,,,,,,6290.0,Albany Park,265.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,136.0,129.0,0.0,0.0,0.0,0.0
2005-2006,609789.0,,,,,,2160.0,Barry,881.0,,,,119.0,95.0,115.0,103.0,93.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,610083.0,,,,,,4950.0,Beard,173.0,,,,30.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,609796.0,,,,,,2240.0,Beaubien,1030.0,,,,96.0,119.0,107.0,123.0,117.0,116.0,111.0,111.0,0.0,0.0,0.0,0.0
2005-2006,609798.0,,,,,,2260.0,Belding,524.0,,,,61.0,40.0,53.0,65.0,50.0,55.0,51.0,58.0,0.0,0.0,0.0,0.0
2005-2006,609810.0,,,,,,2380.0,Bridge,717.0,,,,79.0,78.0,80.0,77.0,82.0,97.0,77.0,91.0,0.0,0.0,0.0,0.0
2005-2006,609836.0,,,,,,2620.0,Canty,633.0,,,,59.0,56.0,72.0,70.0,58.0,60.0,75.0,87.0,0.0,0.0,0.0,0.0
2005-2006,610248.0,,,,,,6670.0,Chicago Acad,574.0,,,,55.0,56.0,56.0,58.0,59.0,60.0,54.0,56.0,0.0,0.0,0.0,0.0
2005-2006,609857.0,,,,,,2800.0,Cleveland,702.0,,,,75.0,61.0,72.0,63.0,73.0,68.0,69.0,87.0,0.0,0.0,0.0,0.0
2005-2006,609884.0,,,,,,3020.0,Dever,816.0,,,,83.0,78.0,92.0,66.0,81.0,100.0,87.0,99.0,0.0,0.0,0.0,0.0
2005-2006,609874.0,,,,,,2950.0,Dirksen,645.0,,,,74.0,69.0,73.0,79.0,61.0,63.0,59.0,62.0,0.0,0.0,0.0,0.0
2005-2006,609899.0,,,,,,3150.0,Ebinger,585.0,,,,79.0,72.0,70.0,57.0,60.0,63.0,42.0,38.0,0.0,0.0,0.0,0.0
2005-2006,609901.0,,,,,,3170.0,Edgebrook,315.0,,,,37.0,41.0,34.0,34.0,30.0,34.0,31.0,31.0,0.0,0.0,0.0,0.0
2005-2006,609794.0,,,,,,2220.0,Edison,269.0,,,,29.0,30.0,31.0,30.0,31.0,33.0,29.0,28.0,0.0,0.0,0.0,0.0
2005-2006,609910.0,,,,,,3270.0,Falconer,1460.0,,,,199.0,213.0,214.0,205.0,195.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-2006,609912.0,,,,,,3280.0,Farnsworth,553.0,,,,64.0,45.0,59.0,61.0,50.0,48.0,54.0,54.0,0.0,0.0,0.0,0.0
2005-2006,609937.0,,,,,,3510.0,"Garvy, J.",596.0,,,,69.0,63.0,60.0,56.0,59.0,81.0,72.0,67.0,0.0,0.0,0.0,0.0
2005-2006,609949.0,,,,,,3620.0,Gray,1348.0,,,,126.0,141.0,119.0,151.0,146.0,170.0,166.0,169.0,0.0,0.0,0.0,0.0
