Network,Total_Enrollment,State English Learners_N,State English Learners_Pct,Students with Disabilities_N,Students with Disabilities_Pct,Economically Disadvantaged_N,Economically Disadvantaged_Pct,Year
Network 1,23333,7898,0.33849054986499805,3961,0.1697595679938285,11732,0.5028071829597566,2025-2026
Network 2,14325,4840,0.3378708551483421,2569,0.1793368237347295,7826,0.5463176265270506,2025-2026
Network 3,12586,5277,0.41927538534880027,2619,0.2080883521372954,10357,0.8228984586047989,2025-2026
Network 4,18378,4165,0.22662966590488628,2880,0.15670910871694418,7763,0.4224072260311242,2025-2026
Network 5,8385,2360,0.2814549791293977,1729,0.2062015503875969,7046,0.8403100775193798,2025-2026
Network 6,11864,2265,0.19091368846931894,1969,0.16596426163182737,6665,0.561783546864464,2025-2026
Network 7,8555,4192,0.49000584453535945,1886,0.22045587375803624,7152,0.8360023378141438,2025-2026
Network 8,13730,7112,0.5179898033503277,2463,0.17938820101966496,11240,0.8186453022578296,2025-2026
Network 9,9824,527,0.05364413680781759,1637,0.1666327361563518,7372,0.7504071661237784,2025-2026
Network 10,18234,5715,0.31342546890424483,3646,0.1999561259186136,12880,0.7063727103213776,2025-2026
Network 11,9017,1010,0.11201064655650438,1934,0.2144837529111678,7352,0.8153487856271487,2025-2026
Network 12,10418,1153,0.1106738337492801,1885,0.1809368400844692,8471,0.8131119216740257,2025-2026
Network 13,11702,2011,0.17185096564689797,2219,0.189625705007691,9330,0.7972996069048026,2025-2026
Network 14,27357,7519,0.27484738823701427,4481,0.1637971999853785,17075,0.6241546953247797,2025-2026
Network 15,20484,4885,0.2384788127318883,2747,0.13410466705721538,14899,0.7273481741847295,2025-2026
Network 16,12464,4092,0.3283055198973042,2417,0.19391848523748395,10677,0.8566270860077022,2025-2026
Network 17,10372,1097,0.10576552256074045,1637,0.15782876976475124,8558,0.825106054762823,2025-2026
ISP,21915,7846,0.35801962126397446,3659,0.166963267168606,14460,0.6598220396988365,2025-2026
Charter,46194,10778,0.23332034463350218,7233,0.1565787764644759,39863,0.8629475689483482,2025-2026
Contract,849,70,0.08244994110718493,151,0.17785630153121318,613,0.7220259128386337,2025-2026
Options,6238,1360,0.2180185957037512,1124,0.18018595703751203,5788,0.9278614940686117,2025-2026
Network 1,23816,8279,0.34762344642257303,3865,0.16228585824655695,12142,0.509825327510917,2024-2025
Network 2,13238,4781,0.3611572745127663,2348,0.1773681825049101,7458,0.5633781537996676,2024-2025
Network 3,12830,5432,0.42338269680436474,2371,0.1848012470771629,10273,0.800701480904131,2024-2025
Network 4,18649,4476,0.2400128693227519,2741,0.14697839026221246,8087,0.4336425545605663,2024-2025
Network 5,8755,2452,0.28006853226727585,1684,0.1923472301541976,7167,0.8186179326099372,2024-2025
Network 6,11848,2495,0.21058406482106684,1832,0.15462525320729237,6544,0.5523295070898042,2024-2025
Network 7,9212,4589,0.4981545809813287,1838,0.1995223621363439,7422,0.8056882327399044,2024-2025
Network 8,13202,7013,0.5312073928192698,2239,0.1695955158309347,10582,0.8015452204211483,2024-2025
Network 9,10201,550,0.05391628271738065,1540,0.15096559160866582,7465,0.7317910008822665,2024-2025
Network 10,18132,5970,0.32925215089344806,3403,0.18767924112067064,12911,0.7120560335318773,2024-2025
Network 11,8994,838,0.09317322659550811,1763,0.19601956860128975,7274,0.8087613964865465,2024-2025
Network 12,10644,1024,0.09620443442314919,1830,0.17192784667418265,8526,0.8010146561443067,2024-2025
