Year,Network,Total,Race,No,Pct,Race_clean
2025-2026,Charter,46194,Asian,468,0.010131185868294583,Asian
2025-2026,Charter,46194,Black/African American,25251,0.5466294323938173,Black/African American
2025-2026,Charter,46194,"Hawaiian/
 Pacific Islander",26,0.0005628436593496991,Hawaiian/Pacific Islander
2025-2026,Charter,46194,Latinx,19430,0.4206173961986405,Hispanic/Latino
2025-2026,Charter,46194,Middle Eastern/Northern African,9,0.00019483049746720353,Black/African American
2025-2026,Charter,46194,Multiracial,221,0.004784171104472442,Multiracial
2025-2026,Charter,46194,"Native American/
 Alaskan",101,0.002186431138243062,Native American/Alaskan
2025-2026,Charter,46194,"Not 
 Available",124,0.0026843312984370263,Not Available
2025-2026,Charter,46194,White,564,0.012209377841278088,White
2025-2026,Contract,849,Asian,5,0.005889281507656066,Asian
2025-2026,Contract,849,Black/African American,450,0.5300353356890459,Black/African American
2025-2026,Contract,849,"Hawaiian/
 Pacific Islander",1,0.001177856301531213,Hawaiian/Pacific Islander
2025-2026,Contract,849,Latinx,288,0.3392226148409894,Hispanic/Latino
2025-2026,Contract,849,Middle Eastern/Northern African,0,0.0,Black/African American
2025-2026,Contract,849,Multiracial,15,0.0176678445229682,Multiracial
2025-2026,Contract,849,"Native American/
 Alaskan",3,0.0035335689045936395,Native American/Alaskan
2025-2026,Contract,849,"Not 
 Available",3,0.0035335689045936395,Not Available
2025-2026,Contract,849,White,84,0.0989399293286219,White
2025-2026,ISP,21915,Asian,1913,0.08729180926306183,Asian
2025-2026,ISP,21915,Black/African American,4332,0.1976728268309377,Black/African American
2025-2026,ISP,21915,"Hawaiian/
 Pacific Islander",13,0.0005932010038786219,Hawaiian/Pacific Islander
2025-2026,ISP,21915,Latinx,11208,0.5114305270362766,Hispanic/Latino
2025-2026,ISP,21915,Middle Eastern/Northern African,6,0.0002737850787132101,Black/African American
2025-2026,ISP,21915,Multiracial,475,0.021674652064795803,Multiracial
2025-2026,ISP,21915,"Native American/
 Alaskan",144,0.006570841889117043,Native American/Alaskan
2025-2026,ISP,21915,"Not 
 Available",9,0.0004106776180698152,Not Available
2025-2026,ISP,21915,White,3815,0.17408167921514944,White
2025-2026,Network 1,23333,Asian,2096,0.08982985471221018,Asian
2025-2026,Network 1,23333,Black/African American,772,0.03308618694552779,Black/African American
2025-2026,Network 1,23333,"Hawaiian/
 Pacific Islander",29,0.0012428748982128315,Hawaiian/Pacific Islander
2025-2026,Network 1,23333,Latinx,11161,0.478335404791497,Hispanic/Latino
2025-2026,Network 1,23333,Middle Eastern/Northern African,16,0.0006857240817725968,Black/African American
2025-2026,Network 1,23333,Multiracial,809,0.03467192388462692,Multiracial
2025-2026,Network 1,23333,"Native American/
 Alaskan",109,0.004671495307075816,Native American/Alaskan
2025-2026,Network 1,23333,"Not 
 Available",74,0.00317147387819826,Not Available
2025-2026,Network 1,23333,White,8267,0.3543050615008786,White
2025-2026,Network 10,18234,Asian,137,0.007513436437424591,Asian
2025-2026,Network 10,18234,Black/African American,4258,0.23351979817922563,Black/African American
2025-2026,Network 10,18234,"Hawaiian/
 Pacific Islander",10,0.0005484260173302622,Hawaiian/Pacific Islander
2025-2026,Network 10,18234,Latinx,12224,0.6703959635845125,Hispanic/Latino
2025-2026,Network 10,18234,Middle Eastern/Northern African,6,0.0003290556103981573,Black/African American
2025-2026,Network 10,18234,Multiracial,162,0.008884501480750246,Multiracial
2025-2026,Network 10,18234,"Native American/
 Alaskan",53,0.0029066578918503895,Native American/Alaskan
2025-2026,Network 10,18234,"Not 
 Available",4,0.00021937040693210486,Not Available
2025-2026,Network 10,18234,White,1380,0.07568279039157617,White
