Race,Count,Year
White,0.11279568405035274,2025-2026
Black,0.34199289897173424,2025-2026
Asian,3.074038210294954e-06,2025-2026
NativeAmerican,0.0031631853183935075,2025-2026
Hispanic,0.4728485575075698,2025-2026
Multiracial,0.017561980295415072,2025-2026
Asian,0.04655630869491708,2025-2026
Hawaiian/Pacific Islander,0.0011035797174958884,2025-2026
Not Available,0.0037964371897142683,2025-2026
Middle Eastern/Northern African,0.00017829421619710732,2025-2026
White,0.111,2024-2025
Black,0.35,2024-2025
Asian,0.0,2024-2025
NativeAmerican,0.003,2024-2025
Hispanic,0.469,2024-2025
Multiracial,0.016,2024-2025
Asian,0.045,2024-2025
Hawaiian/Pacific Islander,0.001,2024-2025
Not Available,0.004,2024-2025
White,0.109839618,2023-2024
Black,0.3580560437,2023-2024
Asian,3.1045681e-06,2023-2024
NativeAmerican,0.0025022819,2023-2024
Hispanic,0.4645892967,2023-2024
Multiracial,0.015029214,2023-2024
Asian,0.0443673822,2023-2024
Hawaiian/Pacific Islander,0.0013939511,2023-2024
Not Available,0.004219108,2023-2024
White,0.108,2022-2023
African American,0.36,2022-2023
Asian,0.0,2022-2023
NativeAmerican,0.003,2022-2023
Hispanic,0.466,2022-2023
Multiracial,0.014,2022-2023
Asian,0.044,2022-2023
Hawaiian/Pacific Islander,0.001,2022-2023
Not Available,0.004,2022-2023
