Year,Network,School_ID,School_Name,White_n,White_pct,Black_n,Black_pct,Asian_n,Asian_pct,NativeAmerican_n,NativeAmerican_pct,Hispanic_n,Hispanic_pct,Mexican_n,Mexican_pct,PuertoRican_n,PuertoRican_pct,Cuban_n,Cuban_pct,OtherHispanic_n,OtherHispanic_pct,MENA_n,MENA_pct,Multiracial_n,Multiracial_pct,Hawaiian/Pacific Islander_n,Hawaiian/Pacific Islander_pct,Asian/Pacific Islander (Retired)_n,Asian/Pacific Islander (Retired)_pct,Not Available_n,Not Available_pct
1999-2000,,,,1.0,0.3,324.0,99.4,0.0,0.0,0.0,0.0,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,1.0,0.6,4.0,2.5,0.0,0.0,0.0,0.0,152.0,96.8,150.0,96.0,1.0,1.0,0.0,0.0,1.0,0.6,,,,,,,,,,
1999-2000,,,,1.0,0.4,222.0,92.1,1.0,0.4,0.0,0.0,17.0,7.1,6.0,2.0,10.0,4.0,0.0,0.0,1.0,0.4,,,,,,,,,,
1999-2000,,,,74.0,10.6,1.0,0.1,1.0,0.1,3.0,0.4,619.0,88.7,587.0,84.0,30.0,4.0,0.0,0.0,2.0,0.3,,,,,,,,,,
1999-2000,,,,136.0,22.7,203.0,33.9,19.0,3.2,1.0,0.2,240.0,40.1,123.0,20.0,85.0,14.0,6.0,1.0,26.0,4.3,,,,,,,,,,
1999-2000,,,,50.0,18.3,21.0,7.7,80.0,29.3,0.0,0.0,122.0,44.7,88.0,32.0,17.0,6.0,1.0,0.0,16.0,5.9,,,,,,,,,,
1999-2000,,,,70.0,15.0,210.0,45.0,64.0,13.7,1.0,0.2,122.0,26.1,59.0,13.0,43.0,9.0,1.0,0.0,19.0,4.1,,,,,,,,,,
1999-2000,,,,0.0,0.0,505.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,0.0,0.0,797.0,99.9,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,17.0,2.1,59.0,7.4,0.0,0.0,0.0,0.0,720.0,90.5,367.0,46.0,307.0,39.0,12.0,2.0,34.0,4.3,,,,,,,,,,
1999-2000,,,,483.0,28.3,149.0,8.7,201.0,11.8,0.0,0.0,871.0,51.1,511.0,30.0,124.0,7.0,17.0,1.0,219.0,12.9,,,,,,,,,,
1999-2000,,,,29.0,3.5,115.0,14.0,2.0,0.2,4.0,0.5,674.0,81.8,434.0,53.0,214.0,26.0,0.0,0.0,26.0,3.2,,,,,,,,,,
1999-2000,,,,2.0,0.3,561.0,97.9,1.0,0.2,0.0,0.0,9.0,1.6,7.0,1.0,1.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,
1999-2000,,,,21.0,3.7,311.0,55.2,59.0,10.5,3.0,0.5,169.0,30.0,122.0,22.0,22.0,4.0,1.0,0.0,24.0,4.3,,,,,,,,,,
1999-2000,,,,1.0,0.5,205.0,99.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1999-2000,,,,119.0,18.9,46.0,7.3,7.0,1.1,0.0,0.0,456.0,72.6,426.0,68.0,25.0,4.0,0.0,0.0,5.0,0.8,,,,,,,,,,
